tmux,pacman,basic,terminal muxer
base-devel,pacman,basic,sudo and compilation software
openssh,pacman,basic,get ssh to work
xorg-server,pacman,basic,graphical environment
xorg-xinit,pacman,basic,graphical environment
zip,pacman,common,compression tool
unzip,pacman,common,compression tool
tar,pacman,common,compression tool
mlocate,pacman,common,quickly find files on the filesystem based on their name
htop,pacman,common,interactive processes viewer
iotop,pacman,common,interactive I/O viewer
tree,pacman,common,interactive I/O viewer
awesome-terminal-fonts,pacman,common,font for icons
rsync,pacman,common,file syncronization
whois,pacman,common,get current user
vim,pacman,common,test editor
emacs,pacman,common,test editor
bash,pacman,common,GNU bash
bash-completion,pacman,common,GNU bash
qutebrowser,pacman,common,internet browser with vim keys support
w3m,pacman,common,drawing images in terminal
highlight,pacman,common,ranger previews highlighted
ranger,pacman,common,command line file manager
wget,pacman,common,get files from web
curl,pacman,common,get files from web
git,pacman,common,repo-tool
stow,pacman,common,symlinking dotfiles
nodejs,pacman,common,pakage manager
npm,pacman,common,pakage manager
python,pacman,common,python
python-pip,pacman,common,python
python-setuptools,pacman,common,python
python-wheel,pacman,common,python
xcape,pacman,common,keyboard key remapping
python-pywal,yaourt,common,color theme chnages
i3-gaps,pacman,i3,window manager
i3lock,pacman,i3,screen lock
feh,pacman,i3,image viewer
compton,pacman,i3,transparency and removing tearing
rofi,pacman,i3,interactive selector
lxsession,pacman,i3,session manager
libnotify,pacman,i3,notification-daemon
dunst,pacman,i3,notification-daemon
xautolock,pacman,i3,calls prog after some time of user inactivity
scrot,pacman,i3,command line display screenshot
calcurse,pacman,i3,termnial calender
imagemagick,pacman,i3,command line image manipulation
network-manager-applet,pacman,i3,network manager gui for the system tray
xorg-xbacklight,pacman,i3,display brightness control
libmpdclient,yaourt,i3,dependencies for polybar
python-iwlib,yaourt,i3,dependencies for polybar
polybar-git,yaourt,i3,window manager display bar
unclutter-xfixes-git,yaourt,i3,Hide the mouse cursor if it is not being used
